frequency_hz,phase_deg,magnitude_ohm
488869.030303,67.3492277729,19.4747959721
491899.272727,69.2023207564,20.2466129652
494929.515152,70.3415521049,21.0456875714
497959.757576,70.9486757698,22.0935341803
500990,72.338686799,22.9464127243
504020.242424,72.9629267053,23.9519287099
507050.484848,73.9015609556,24.902869323
510080.727273,73.5385994913,26.129264169
513110.969697,73.8603327702,27.3524981545
516141.212121,74.7236260289,28.3233537071
519171.454545,73.9152115444,29.6218185485
522201.69697,73.7320235712,30.9105492699
525231.939394,74.4512837963,31.9813560763
528262.181818,72.3256197345,33.3040756413
531292.424242,71.694661898,34.6126781005
534322.666667,71.0429779295,35.4381826078
537352.909091,72.0431973061,37.1455888152
540383.151515,69.8456394754,37.8573486919
543413.393939,69.3056247507,39.3239747285
546443.636364,68.0706040111,40.1950417748
549473.878788,65.9916461157,43.199864356
552504.121212,63.4052234133,44.6629945695
555534.363636,59.3497353162,45.4875016048
558564.606061,55.1659177638,45.3524881097
561594.848485,51.2161171945,44.2652711136
564625.090909,48.6353458662,41.5658911435
567655.333333,47.9181226744,39.0350205714
570685.575758,49.3169951714,36.4634388157
573715.818182,53.1235316242,34.709738283
576746.060606,54.6414996748,34.1745208759
579776.30303,56.8057231446,34.4612746382
582806.545455,58.2857374359,36.1768966483
585836.787879,60.5750167618,35.4158445285
588867.030303,62.1036028572,36.4988898606
591897.272727,62.5681562391,37.1603747006
594927.515152,63.5985506757,37.9259926977
597957.757576,64.4052863028,38.6606765713
600988,65.2811411867,39.7065046562
604018.242424,65.8327839466,40.8079344075
607048.484848,66.2533729273,42.1535294161
610078.727273,66.4912208279,43.5087887358
613108.969697,66.6696514006,45.0389507624
616139.212121,66.1181499474,46.2327799309
619169.454545,66.2177101248,48.1790682726
622199.69697,64.7845901216,49.9156929634
625229.939394,63.8016174159,51.688721345
628260.181818,62.8606092904,53.3394398995
631290.424242,61.5415991468,55.5052349542
634320.666667,58.454382678,57.9373027673
637350.909091,56.9956051136,59.3909706627
640381.151515,54.0255177981,61.577835615
643411.393939,49.7828447052,63.9588006411
646441.636364,45.847220457,63.6589025086
649471.878788,40.3551072317,61.2928550035
652502.121212,35.1563462634,61.2860611407
655532.363636,32.9187964404,56.7482426916
658562.606061,29.4207758514,54.8136145552
661592.848485,27.5749922153,50.7620565875
664623.090909,25.0909856533,47.4927316241
667653.333333,23.1303061188,43.9943556301
670683.575758,23.2028720264,39.7515289095
673713.818182,23.6311148714,36.1647505745
676744.060606,28.5634688721,32.4280407646
679774.30303,27.2975100286,30.5007002909
682804.545455,30.6071181094,27.896745188
685834.787879,37.7366170005,25.8452274813
688865.030303,40.2898070736,25.7126343942
691895.272727,45.1446431222,24.4781817122
694925.515152,56.0534420891,23.692765451
697955.757576,54.0520074907,24.1388868053
700986,59.3106607491,24.7943086023
704016.242424,63.6904817597,26.9854166076
707046.484848,65.2258826879,26.4076047968
710076.727273,69.7908781788,27.4275783572
713106.969697,70.0728598046,28.5772630144
716137.212121,69.4084234152,28.0139482635
719167.454545,73.6673465609,30.3572054954
722197.69697,74.115710009,31.7601524847
725227.939394,74.5078580872,32.5597261998
