frequency_hz,phase_deg,magnitude_ohm
1064615.09091,85.9547304122,163.745432177
1067645.33333,86.3610043045,161.641328638
1070675.57576,86.5835017806,163.302274654
1073705.81818,87.2451354143,167.487911897
1076736.06061,86.4751024269,164.449087145
1079766.30303,86.1922800618,166.9631048
1082796.54545,86.8685527378,164.789720145
1085826.78788,86.3678760662,168.725527062
1088857.0303,86.5199055309,169.932420317
1091887.27273,86.2947156294,163.841229668
1094917.51515,86.6177025131,171.574626724
1097947.75758,87.1292773577,173.477020397
1100978,87.0857986725,178.371753621
1104008.24242,86.4395319015,174.612655354
1107038.48485,87.0047605402,181.291024097
1110068.72727,86.065062709,178.975796223
1113098.9697,86.5324668228,178.270175304
1116129.21212,86.7151472478,179.796306307
1119159.45455,86.5481014093,180.221328689
1122189.69697,86.7364532998,181.988459313
1125219.93939,87.5192056674,182.079913613
1128250.18182,86.5388437848,186.195595032
1131280.42424,86.7055647579,185.355616435
1134310.66667,87.043112836,186.541879443
1137340.90909,86.4773941067,188.8827922
1140371.15152,86.8414086126,188.629133373
1143401.39394,87.4868202515,193.215908372
1146431.63636,87.847792449,196.195485652
1149461.87879,86.7557224285,193.393724859
1152492.12121,86.5974910835,207.751706942
1155522.36364,86.7115468809,194.876902334
1158552.60606,86.9654013189,195.805533717
1161582.84848,87.1556035138,202.357310417
1164613.09091,87.4289134861,199.795698716
1167643.33333,86.8729678197,199.586388471
1170673.57576,87.5586915772,202.751620775
1173703.81818,86.9404932673,204.454635679
1176734.06061,86.8531642572,203.316636556
1179764.30303,85.9975892832,205.680481142
1182794.54545,86.4881330552,206.943160242
1185824.78788,86.8705502153,207.392136321
1188855.0303,86.3833054051,209.550131793
1191885.27273,86.5968614412,211.304588131
1194915.51515,86.8926175854,211.437897799
1197945.75758,84.7671095147,204.264734866
1200976,86.3537761902,217.184495579
1204006.24242,86.8016301284,214.140846154
1207036.48485,84.697286495,212.431505391
1210066.72727,85.6590680027,217.348964652
1213096.9697,86.3856921509,219.837330804
1216127.21212,85.8881353206,223.437268898
1219157.45455,87.5898089756,220.660426272
1222187.69697,87.42230842,221.957988174
1225217.93939,86.0466591413,217.010332126
1228248.18182,87.2456332253,225.51135963
1231278.42424,86.8862625096,225.244444958
1234308.66667,87.3964258164,246.498887022
1237338.90909,87.8725543758,228.525593795
1240369.15152,86.6860762075,232.156476947
1243399.39394,81.7289483216,241.727203277
1246429.63636,87.3287627862,236.578837377
1249459.87879,86.7334214931,235.972405753
1252490.12121,84.1828650305,227.702788725
1255520.36364,86.1954372317,236.926085113
1258550.60606,86.7747068201,236.071829557
1261580.84848,82.437731699,256.688337063
1264611.09091,85.811568475,242.023358999
1267641.33333,86.445618914,241.276683012
1270671.57576,87.4704983706,254.508829699
1273701.81818,87.5882443159,241.366702442
1276732.06061,86.9397896641,245.57310715
1279762.30303,85.4539217426,237.69049793
1282792.54545,85.6044118279,249.441078766
1285822.78788,86.5085883398,251.942120983
1288853.0303,83.7030365757,252.631158262
1291883.27273,86.8549572759,260.619334307
1294913.51515,87.355188879,255.595442632
1297943.75758,85.3275398176,249.682052953
1300974,84.9535576445,261.135851877
1304004.24242,87.4336254016,261.706438158
1307034.48485,85.7676228423,270.386415221
1310064.72727,85.8594037355,259.915991967
1313094.9697,87.2674707655,261.126432422
1316125.21212,82.2044398377,273.366852725
1319155.45455,85.9517421921,260.56440959
1322185.69697,85.8328084468,271.260536974
1325215.93939,85.3525252226,245.380365065
1328246.18182,87.1332693106,272.551862795
1331276.42424,87.4966509877,269.667907974
1334306.66667,90.9866182924,304.604253409
1337336.90909,86.4267310335,267.323705666
1340367.15152,87.0981819549,279.59406297
1343397.39394,87.9265024726,270.303612755
1346427.63636,87.5277621424,270.032370487
1349457.87879,87.6105724069,285.8223772
1352488.12121,87.6544486526,266.257872836
1355518.36364,85.2421689184,289.334688071
1358548.60606,86.6673502633,282.413356263
1361578.84848,85.1505426701,291.979148482
1364609.09091,88.981870387,291.529501455
1367639.33333,87.968636528,287.782973529
1370669.57576,86.753650079,300.808708163
1373699.81818,87.2843330913,289.239788399
1376730.06061,86.1670739321,293.862178638
1379760.30303,86.7109229894,302.692743112
1382790.54545,87.4091319318,301.59562197
1385820.78788,86.6202959983,302.086622329
1388851.0303,78.4977273426,296.658489207
1391881.27273,89.1267424396,334.951093203
1394911.51515,87.7017036923,307.768552996
1397941.75758,86.4971054332,315.247969897
1400972,82.0053668093,296.945705005
1404002.24242,87.6284481398,310.968356895
1407032.48485,88.7363403595,309.421281368
1410062.72727,77.5484843672,322.969181206
1413092.9697,87.9815552434,323.167768924
1416123.21212,87.9450979134,320.729406712
1419153.45455,86.676520893,307.62238935
1422183.69697,83.6208470051,302.485761211
1425213.93939,88.0177950289,328.374880408
1428244.18182,88.1316340743,330.44331967
1431274.42424,86.5588510777,321.954855919
1434304.66667,79.7580128628,330.390764586
1437334.90909,88.3311807187,333.953111202
1440365.15152,86.3699355887,333.346707896
1443395.39394,82.8382906691,320.540387649
1446425.63636,86.306614157,323.568808989
1449455.87879,86.8679334283,336.844297626
1452486.12121,85.1193548524,352.536028011
1455516.36364,89.2115762717,313.643479707
1458546.60606,86.4431656234,344.381363839
1461576.84848,84.3571046755,409.971816719
1464607.09091,87.2497888659,348.292715776
1467637.33333,87.9566904997,357.545505893
1470667.57576,84.8241184695,363.456069477
1473697.81818,87.5483299255,358.720432025
1476728.06061,82.4579586428,307.062914718
1479758.30303,86.3591854169,351.156065924
1482788.54545,85.9211523979,378.509174364
1485818.78788,95.4775575633,401.928359234
1488849.0303,85.7539367225,361.848580758
1491879.27273,85.8164595739,357.764696573
1494909.51515,88.1832352931,400.163146956
1497939.75758,85.5018124962,358.93014218
1500970,87.9942695343,381.504396116
1504000.24242,82.2124799094,378.854833215
1507030.48485,83.8884739349,381.946249755
1510060.72727,86.0722350337,377.234824237
1513090.9697,81.9757618638,320.600355955
1516121.21212,86.289355199,375.134549317
1519151.45455,87.741779938,384.426009784
1522181.69697,89.1218297845,481.717440493
1525211.93939,85.7434297884,379.083566753
1528242.18182,85.3924238401,400.569373105
1531272.42424,96.314549021,456.690466166
1534302.66667,87.4113107199,395.143646421
