frequency_hz,phase_deg,magnitude_ohm
688865.030303,-75.5921490636,850.45266052
691895.272727,-87.5248303094,871.777493589
694925.515152,-87.363994799,924.995870369
697955.757576,-88.362015637,911.749326308
700986,-88.1938775116,937.967041577
704016.242424,-84.2944194508,823.703714425
707046.484848,-87.4156546995,944.6078287
710076.727273,-88.6050513323,890.950401009
713106.969697,-86.1829165304,921.820233436
716137.212121,-87.7597080815,912.837429999
719167.454545,-89.3768076565,918.622348994
722197.69697,-93.7112951083,885.55799108
725227.939394,-89.863894122,899.899921811
728258.181818,-89.3920336107,896.22930263
731288.424242,-91.3150428358,887.621710079
734318.666667,-88.4128479005,880.192785575
737348.909091,-89.3197313811,823.489726707
740379.151515,-92.1231881224,917.344659831
743409.393939,-89.3735508301,866.09744055
746439.636364,-89.7543217575,877.017367808
749469.878788,-90.3917641963,845.637370756
752500.121212,-87.5079307529,849.883665141
755530.363636,-89.4185965697,833.756402499
758560.606061,-94.760471897,813.30194925
761590.848485,-89.7405467093,841.158483453
764621.090909,-88.8974256412,825.28245414
767651.333333,-88.9909876218,837.127396296
770681.575758,-88.7531500314,835.47573123
773711.818182,-93.5527896323,738.320333783
776742.060606,-85.4251508778,844.293135082
779772.30303,-89.7966472715,840.905630891
782802.545455,-92.2439629074,791.205709856
785832.787879,-88.0488037521,795.615889558
788863.030303,-90.188468208,866.672067503
791893.272727,-89.6111209377,823.973450152
794923.515152,-89.532942372,806.166485579
797953.757576,-81.3087169192,683.893188267
800984,-88.6407868248,803.239019431
804014.242424,-89.6488532096,782.179149883
807044.484848,-83.7380789568,788.552102719
810074.727273,-91.1439032087,782.899014246
813104.969697,-86.0719017282,798.830984397
816135.212121,-92.4276663033,806.429036944
819165.454545,-90.5288651719,791.203325692
822195.69697,-85.722339132,879.218580704
825225.939394,-88.4574598198,752.412050755
828256.181818,-92.2899676893,768.184887657
831286.424242,-95.8191791644,735.719678479
834316.666667,-90.2733445535,789.308541122
837346.909091,-90.0934632754,728.940841897
840377.151515,-75.7064235885,768.224146151
843407.393939,-89.08256101,734.796856022
846437.636364,-87.7798277059,752.748192582
849467.878788,-79.2903146202,742.268123254
852498.121212,-89.805807863,701.812891627
855528.363636,-88.1233291748,726.565809276
858558.606061,-102.44737925,733.495773836
861588.848485,-88.2044808291,794.313385286
864619.090909,-88.3994616331,726.265368457
867649.333333,-73.3671492814,755.936360095
870679.575758,-86.2576695939,664.090151673
873709.818182,-87.7775425323,738.445390209
876740.060606,-94.712608873,608.26871582
879770.30303,-86.7713630595,667.158686033
882800.545455,-89.1351075083,791.410703886
885830.787879,-88.9744109086,734.912534705
888861.030303,-91.353803983,703.226541106
891891.272727,-94.6545832312,749.713824681
894921.515152,-88.7228093844,722.383257313
897951.757576,-88.2183133852,687.730049929
900982,-87.538039602,692.633017778
904012.242424,-88.6654231566,710.218889451
907042.484848,-89.4816348943,708.791605412
910072.727273,-88.6194675753,696.175489688
913102.969697,-88.4446643212,700.211321425
916133.212121,-88.7098652773,682.947024645
919163.454545,-94.2594296762,651.91415652
922193.69697,-89.2926804615,717.81602052
925223.939394,-81.7053097653,641.407016942
928254.181818,-85.7614259451,769.704150522
931284.424242,-83.0769665785,700.072534642
934314.666667,-92.3455140643,652.105975176
937344.909091,-89.1881709848,684.02600343
940375.151515,-84.0453661205,691.070754497
943405.393939,-86.0970523888,658.537242972
946435.636364,-91.5577506723,686.896160032
949465.878788,-90.539942781,670.238166062
952496.121212,-97.2695080275,608.847993742
955526.363636,-89.6847523318,650.654622619
958556.606061,-90.9510153603,647.650914581
961586.848485,-91.5999870533,684.592698574
964617.090909,-87.4853598862,641.556585954
967647.333333,-86.7745576629,661.530198744
970677.575758,-80.4391915818,627.942944163
973707.818182,-88.530936035,645.071147976
976738.060606,-88.7339503692,638.352116321
979768.30303,-79.6285953421,721.78987093
982798.545455,-87.6030758666,645.121434336
985828.787879,-89.4338998195,660.592307806
988859.030303,-88.582644302,685.437326421
991889.272727,-87.5922075741,651.164035914
994919.515152,-90.7912375315,590.614834332
997949.757576,-87.9571057336,638.526585719
1000980,-88.2433086768,597.776410582
1004010.24242,-92.4228307142,591.966888064
1007040.48485,-89.3185140682,634.886073408
1010070.72727,-87.2669495756,624.095827298
1013100.9697,-86.7408412148,627.591277174
1016131.21212,-87.8449073847,621.161146776
1019161.45454,-90.2816955427,604.07582137
1022191.69697,-83.7993167315,645.304050742
1025221.93939,-90.262711069,615.787060598
1028252.18182,-86.3477047655,566.704032163
1031282.42424,-89.4456365779,734.504033399
1034312.66667,-88.1990078196,597.826024753
1037342.90909,-89.1242615445,588.720765316
1040373.15152,-80.5752406101,595.230487366
1043403.39394,-89.2980342622,612.820061054
1046433.63636,-89.2521650824,564.002603135
1049463.87879,-88.9183333547,512.329196073
1052494.12121,-89.6373770153,590.838652094
1055524.36364,-87.9632011121,600.302061086
1058554.60606,-84.4508760713,581.3732893
1061584.84848,-90.0972737506,582.514211707
1064615.09091,-87.1841470067,583.604210753
1067645.33333,-84.9590844037,586.263725604
1070675.57576,-88.6805312636,580.318041491
1073705.81818,-87.1517688627,577.166896215
1076736.06061,-87.1519275543,581.509097905
1079766.30303,-87.7341351986,586.301308944
1082796.54545,-86.3226410151,574.072131704
1085826.78788,-87.8199829903,585.165699847
1088857.0303,-87.2184613341,572.714741424
1091887.27273,-85.979151422,510.182134897
1094917.51515,-86.7633148455,575.805256804
1097947.75758,-88.8975476194,571.88248797
1100978,-94.277849988,594.848369276
1104008.24242,-89.6547977187,567.173995879
1107038.48485,-89.3252110116,565.438186705
1110068.72727,-85.0875798095,537.223318878
1113098.9697,-89.2484651677,565.895815007
1116129.21212,-89.0402729718,557.307096928
1119159.45455,-92.9713873347,516.935925509
1122189.69697,-88.8845168468,547.269588168
1125219.93939,-89.6804345071,558.72115934
1128250.18182,-91.7224892414,570.500425749
1131280.42424,-89.1549333673,555.244993134
1134310.66667,-90.2006770434,539.687142796
1137340.90909,-88.2084072333,523.410742233
1140371.15152,-89.7476759124,540.849024011
1143401.39394,-90.1696903806,533.381876826
1146431.63636,-88.0839779115,548.183157591
1149461.87879,-89.3783539156,545.398575337
1152492.12121,-90.60197764,540.941941064
1155522.36364,-91.5293568967,540.86774259
1158552.60606,-89.381444125,536.41306651
1161582.84848,-88.2412342299,538.772818234
1164613.09091,-90.7255074069,545.698953981
1167643.33333,-89.7831421865,526.014530901
1170673.57576,-88.9733985317,518.442372326
1173703.81818,-87.5093927674,548.259687073
1176734.06061,-88.8600580462,530.469327992
1179764.30303,-90.9517644881,507.356149978
1182794.54545,-90.6497435617,516.809340564
1185824.78788,-89.1877213846,532.783105312
1188855.0303,-89.3634819212,500.224032989
1191885.27273,-88.1990547786,495.683781277
1194915.51515,-89.0269704581,516.065462485
1197945.75758,-88.3256450008,498.578292518
1200976,-88.4165535858,519.305289359
1204006.24242,-88.7510020934,506.418726347
1207036.48485,-89.8209278684,519.5900448
1210066.72727,-88.8335353326,511.91496188
1213096.9697,-90.5346692265,519.522950489
1216127.21212,-88.7889246759,514.909723238
1219157.45455,-88.4231112647,505.804898599
1222187.69697,-89.0484882657,536.669945297
1225217.93939,-89.1456002929,485.515191137
1228248.18182,-88.6210989843,504.495724711
1231278.42424,-86.8968216035,502.27344274
1234308.66667,-87.8970578071,498.044275936
1237338.90909,-88.8736926388,497.466985548
1240369.15152,-89.014067594,499.364548165
1243399.39394,-88.7569900387,494.897001485
1246429.63636,-88.6227714732,493.674676711
1249459.87879,-86.5981010776,457.080419387
1252490.12121,-89.5843880101,481.444900682
1255520.36364,-89.3821915315,490.934708627
1258550.60606,-88.9976175287,456.60747955
1261580.84848,-87.9617686003,478.888973059
1264611.09091,-88.6208583442,489.121626082
1267641.33333,-84.5828093712,490.712552278
1270671.57576,-88.7914643236,469.821614255
1273701.81818,-88.2401708532,493.905017778
1276732.06061,-91.388074637,535.746504054
